URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_155_V_TC_46/935,1745,335,152/pct:40/0/default.jpg",,,,,321,155 V,935,1745,335,152,
"https://stacks.stanford.edu/image/iiif/tr552jm2166%2F312_5_TC_46/2022,3930,230,275/pct:40/0/default.jpg",,,,,312,5,2022,3930,230,275,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_209_V_TC_46/1997,442,315,627/pct:40/0/default.jpg",,,,,327,209 V,1997,442,315,627,
"https://stacks.stanford.edu/image/iiif/vn209hf3082%2F505_038_V_TC_46/762,2872,260,217/pct:40/0/default.jpg",,,,,505,38 V,762,2872,260,217,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_654_R_TC_46/1070,4495,240,130/pct:40/0/default.jpg",,,,,484,654 R,1070,4495,240,130,
"https://stacks.stanford.edu/image/iiif/wk321dt4676%2F094_35_V_TC_46/1150,3247,445,457/pct:40/0/default.jpg",,,,,94,35 V,1150,3247,445,457,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_034_R_TC_46/85,3410,135,182/pct:40/0/default.jpg",,,,,397,34 R,85,3410,135,182,
"https://stacks.stanford.edu/image/iiif/cy895rg0439%2F047_106_V_TC_46/1112,2457,265,267/pct:40/0/default.jpg",,,,,47,106 V,1112,2457,265,267,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_080_R_TC_46/2932,4922,65,97/pct:40/0/default.jpg",,,,,437,80 R,2932,4922,65,97,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_349_V_TC_46/1545,5990,285,492/pct:40/0/default.jpg",,,,,2III,349 V,1545,5990,285,492,
"https://stacks.stanford.edu/image/iiif/wh417sx8653%2F441_376_TC_46/802,535,180,165/pct:40/0/default.jpg",,,,,441,376,802,535,180,165,
"https://stacks.stanford.edu/image/iiif/cy895rg0439%2F047_12_V_TC_46/822,555,420,522/pct:40/0/default.jpg",,,,,47,12 V,822,555,420,522,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_034_V_FLD_O_TC_46/3610,1587,162,135/pct:40/0/default.jpg",,,,,29,34 V,3610,1587,162,135,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_106_R_TC_46/215,3540,357,317/pct:40/0/default.jpg",,,,,511,106 R,215,3540,357,317,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_019_R_TC_46/1897,1720,200,195/pct:40/0/default.jpg",,,,,468,19 R,1897,1720,200,195,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_091_R_TC_46/3680,4675,257,152/pct:40/0/default.jpg",,,,,45,91 R,3680,4675,257,152,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_042_V_TC_46/512,810,125,272/pct:40/0/default.jpg",,,,,397,42 V,512,810,125,272,
"https://stacks.stanford.edu/image/iiif/rk793ps8480%2F276_103_V_TC_46/407,1370,372,322/pct:40/0/default.jpg",,,,,276,103 V,407,1370,372,322,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_324_R_TC_46/2152,3185,370,390/pct:40/0/default.jpg",,,,,10,324 R,2152,3185,370,390,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_064_V_TC_46/2172,4107,315,230/pct:40/0/default.jpg",,,,,310,64 V,2172,4107,315,230,
"https://stacks.stanford.edu/image/iiif/qv912yv7154%2F229_54_V_TC_46/3480,5850,707,597/pct:40/0/default.jpg",,,,,229,54 V,3480,5850,707,597,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_015_V_TC_46/582,1975,482,340/pct:40/0/default.jpg",,,,,470,15 V,582,1975,482,340,
"https://stacks.stanford.edu/image/iiif/zs345bj2650%2F270_169_R_TC_46/47,2827,442,712/pct:40/0/default.jpg",,,,,270,169 R,47,2827,442,712,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_179_R_TC_46/2120,6405,242,135/pct:40/0/default.jpg",,,,,485,179 R,2120,6405,242,135,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_205_V_TC_46/4900,4802,165,200/pct:40/0/default.jpg",,,,,45,205 V,4900,4802,165,200,
"https://stacks.stanford.edu/image/iiif/wk321dt4676%2F094_21_V_TC_46/1262,2362,372,335/pct:40/0/default.jpg",,,,,94,21 V,1262,2362,372,335,
"https://stacks.stanford.edu/image/iiif/nm203xw8381%2F002I_076_R_TC_46/2130,5037,410,987/pct:40/0/default.jpg",,,,,2I,76 R,2130,5037,410,987,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_037_R_TC_46/2017,3095,265,137/pct:40/0/default.jpg",,,,,321,37 R,2017,3095,265,137,
"https://stacks.stanford.edu/image/iiif/hp146pz7537%2F072_7_R_TC_46/205,947,132,235/pct:40/0/default.jpg",,,,,72,7 R,205,947,132,235,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_610_R_TC_46/2470,602,127,177/pct:40/0/default.jpg",,,,,484,610 R,2470,602,127,177,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_225_TC_46/2817,1537,227,220/pct:40/0/default.jpg",,,,,51,225,2817,1537,227,220,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_096_R_TC_46/3125,2797,447,580/pct:40/0/default.jpg",,,,,75,96 R,3125,2797,447,580,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_043_R_TC_46/1482,3752,70,110/pct:40/0/default.jpg",,,,,48,43 R,1482,3752,70,110,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_015_V_TC_46/2710,3307,172,310/pct:40/0/default.jpg",,,,,468,15 V,2710,3307,172,310,
"https://stacks.stanford.edu/image/iiif/wd305nz9008%2F281_069_R_TC_46/827,1115,172,222/pct:40/0/default.jpg",,,,,281,69 R,827,1115,172,222,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_187_R_TC_46/4735,6192,165,190/pct:40/0/default.jpg",,,,,45,187 R,4735,6192,165,190,
"https://stacks.stanford.edu/image/iiif/my719tj3506%2F031_111_V_TC_46/1647,3715,1615,175/pct:40/0/default.jpg",,,,,31,111 V,1647,3715,1615,175,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_115_V_TC_46/1350,2540,275,230/pct:40/0/default.jpg",,,,,131,115 V,1350,2540,275,230,
