URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_242_R_TC_46/477,2862,452,485/pct:40/0/default.jpg",,,,,83,242 R,477,2862,452,485,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_115_V_TC_46/1432,882,972,4360/pct:40/0/default.jpg",,,,,83,115 V,1432,882,972,4360,
"https://stacks.stanford.edu/image/iiif/gx795dx4085%2F219_11_V_TC_46/982,907,630,2472/pct:40/0/default.jpg",,,,,219,11 V,982,907,630,2472,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_166_R_TC_46/792,2985,230,582/pct:40/0/default.jpg",,,,,271,166 R,792,2985,230,582,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_227_R_TC_46/2300,4142,470,2712/pct:40/0/default.jpg",,,,,49,227 R,2300,4142,470,2712,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_339_R_TC_46/2100,6355,277,1397/pct:40/0/default.jpg",,,,,10,339 R,2100,6355,277,1397,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_80_V_TC_46/987,3787,625,2090/pct:40/0/default.jpg",,,,,30,80 V,987,3787,625,2090,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_429_R_TC_46/307,4222,735,1267/pct:40/0/default.jpg",,,,,49,429 R,307,4222,735,1267,
"https://stacks.stanford.edu/image/iiif/vb856kp8798%2F002II_240_V_TC_46/3740,542,410,647/pct:40/0/default.jpg",,,,,2II,240 V,3740,542,410,647,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_065_R_TC_46/110,1645,250,337/pct:40/0/default.jpg",,,,,406,65 R,110,1645,250,337,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_244_R_TC_46/2167,6722,570,685/pct:40/0/default.jpg",,,,,4,244 R,2167,6722,570,685,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_106_R_TC_46/2100,1392,222,370/pct:40/0/default.jpg",,,,,10,106 R,2100,1392,222,370,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_174_R_TC_46/207,880,415,457/pct:40/0/default.jpg",,,,,92,174 R,207,880,415,457,
"https://stacks.stanford.edu/image/iiif/hv214nw9015%2F295_098_V_TC_46/3685,2802,557,615/pct:40/0/default.jpg",,,,,295,98 V,3685,2802,557,615,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_081_R_TC_46/2402,2300,355,1465/pct:40/0/default.jpg",,,,,29,81 R,2402,2300,355,1465,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_319_R_TC_46/580,4760,442,2055/pct:40/0/default.jpg",,,,,271,319 R,580,4760,442,2055,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_206_V_TC_46/747,2390,542,2762/pct:40/0/default.jpg",,,,,463,206 V,747,2390,542,2762,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_156_R_TC_46/2457,3532,475,640/pct:40/0/default.jpg",,,,,16II,156 R,2457,3532,475,640,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_182_V_TC_46/1617,1697,780,1252/pct:40/0/default.jpg",,,,,83,182 V,1617,1697,780,1252,
"https://stacks.stanford.edu/image/iiif/jz764vk2561%2F315_62_V_TC_46/912,685,472,1537/pct:40/0/default.jpg",,,,,315,62 V,912,685,472,1537,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_295_V_TC_46/1667,1912,365,1007/pct:40/0/default.jpg",,,,,10,295 V,1667,1912,365,1007,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_192_R_TC_46/2212,5960,452,1267/pct:40/0/default.jpg",,,,,49,192 R,2212,5960,452,1267,
"https://stacks.stanford.edu/image/iiif/hb336yt8349%2F375_076_V_TC_46/872,1015,817,1065/pct:40/0/default.jpg",,,,,375,76 V,872,1015,817,1065,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_307_V_TC_46/1290,5207,737,2277/pct:40/0/default.jpg",,,,,271,307 V,1290,5207,737,2277,
"https://stacks.stanford.edu/image/iiif/hv214nw9015%2F295_142_V_TC_46/1472,5002,475,597/pct:40/0/default.jpg",,,,,295,142 V,1472,5002,475,597,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_107_R_TC_46/2370,2335,225,2085/pct:40/0/default.jpg",,,,,271,107 R,2370,2335,225,2085,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_067_R_TC_46/2375,5287,457,1315/pct:40/0/default.jpg",,,,,16II,67 R,2375,5287,457,1315,
"https://stacks.stanford.edu/image/iiif/gf842rx6366%2F459_026_V_TC_46/1112,2060,457,982/pct:40/0/default.jpg",,,,,459,26 V,1112,2060,457,982,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_157_V_TC_46/582,360,300,880/pct:40/0/default.jpg",,,,,628,157 V,582,360,300,880,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_122_V_TC_46/2995,3537,325,1555/pct:40/0/default.jpg",,,,,437,122 V,2995,3537,325,1555,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_024_V_TC_46/3292,6252,365,825/pct:40/0/default.jpg",,,,,26,24 V,3292,6252,365,825,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_230_V_TC_46/495,3980,785,1035/pct:40/0/default.jpg",,,,,463,230 V,495,3980,785,1035,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_096_V_TC_46/827,570,555,4367/pct:40/0/default.jpg",,,,,485,96 V,827,570,555,4367,
"https://stacks.stanford.edu/image/iiif/mm597sr5491%2F299_31_V_TC_46/642,3105,437,552/pct:40/0/default.jpg",,,,,299,31 V,642,3105,437,552,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_003_R_TC_46/2652,3875,382,642/pct:40/0/default.jpg",,,,,16II,3 R,2652,3875,382,642,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_127_R_TC_46/1672,1205,450,3325/pct:40/0/default.jpg",,,,,468,127 R,1672,1205,450,3325,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_201_V_TC_46/3682,1185,440,517/pct:40/0/default.jpg",,,,,75,201 V,3682,1185,440,517,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_446_V_TC_46/772,1842,272,457/pct:40/0/default.jpg",,,,,463,446 V,772,1842,272,457,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_172_R_TC_46/2250,3620,537,1475/pct:40/0/default.jpg",,,,,92,172 R,2250,3620,537,1475,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_235_R_TC_46/897,920,217,667/pct:40/0/default.jpg",,,,,271,235 R,897,920,217,667,
"https://stacks.stanford.edu/image/iiif/pf456zy3460%2F222_014_V_TC_46/1542,3830,565,1080/pct:40/0/default.jpg",,,,,222,14 V,1542,3830,565,1080,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_187_TC_46/142,2560,572,485/pct:40/0/default.jpg",,,,,51,187,142,2560,572,485,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_001_R_TC_46/380,4325,292,460/pct:40/0/default.jpg",,,,,26,1 R,380,4325,292,460,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_085_R_TC_46/1920,2760,335,1650/pct:40/0/default.jpg",,,,,327,85 R,1920,2760,335,1650,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_144_V_TC_46/1067,4172,292,825/pct:40/0/default.jpg",,,,,16II,144 V,1067,4172,292,825,
