URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_54_V_TC_46/770,973,1323,905/pct:40/0/default.jpg",028,54,V,770,973,1323,905,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_62_R_TC_46/2143,4925,663,1013/pct:40/0/default.jpg",028,62,R,2143,4925,663,1013,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_65_R_TC_46/168,5880,653,1050/pct:40/0/default.jpg",028,65,R,168,5880,653,1050,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_7_R_TC_46/2143,1075,613,1090/pct:40/0/default.jpg",028,7_R,R,2143,1075,613,1090,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_178_R_TC_46/653,4988,238,350/pct:40/0/default.jpg",030,178,R,653,4988,238,350,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_178_R_TC_46/3483,1285,268,183/pct:40/0/default.jpg",030,178,R,3483,1285,268,183,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_178_R_TC_46/4150,6468,208,230/pct:40/0/default.jpg",030,178,R,4150,6468,208,230,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_184_R_TC_46/2060,4885,183,185/pct:40/0/default.jpg",030,184,R,2060,4885,183,185,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_184_R_TC_46/3383,6483,528,1005/pct:40/0/default.jpg",030,184,R,3383,6483,528,1005,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_189_V_TC_46/1133,3133,213,210/pct:40/0/default.jpg",030,189,V,1133,3133,213,210,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_189_V_TC_46/3180,3725,198,175/pct:40/0/default.jpg",030,189,V,3180,3725,198,175,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_189_V_TC_46/4385,1913,335,190/pct:40/0/default.jpg",030,189,V,4385,1913,335,190,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/640,5755,308,1185/pct:40/0/default.jpg",030,203,R,640,5755,308,1185,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/3153,3275,188,240/pct:40/0/default.jpg",030,203,R,3153,3275,188,240,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/3793,4428,185,240/pct:40/0/default.jpg",030,203,R,3793,4428,185,240,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/4215,4015,173,200/pct:40/0/default.jpg",030,203,R,4215,4015,173,200,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/688,1860,223,250/pct:40/0/default.jpg",030,203,R,688,1860,223,250,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/1105,3320,170,213/pct:40/0/default.jpg",030,203,R,1105,3320,170,213,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/2145,4428,208,235/pct:40/0/default.jpg",030,203,R,2145,4428,208,235,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_203_R_TC_46/2768,5868,193,215/pct:40/0/default.jpg",030,203,R,2768,5868,193,215,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_204_R_TC_46/1783,1610,193,193/pct:40/0/default.jpg",030,204,R,1783,1610,193,193,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_204_R_TC_46/3128,1558,193,225/pct:40/0/default.jpg",030,204,R,3128,1558,193,225,
